회사명,산업,매출액,사원수,학업성취도,외국어,전문능력,대외활동,스펙지수
아모제푸드(주),850억,250명 재직중,전기·전자·제어,7.8,7.4,6.8,2.3,257
㈜엑스퍼트컨설팅,컨설팅·연구·조사,"254억 2,833만원",152명 재직중,7.8,7.6,6.3,2.2,227
(주)지니뮤직,포털·컨텐츠·커뮤니티,"2,439억 5,369만원",235명 재직중,7.9,7.8,6.0,2.5,235
(주)헬스조선,출판·인쇄·사진,110억,62명 재직중,8.0,7.9,5.9,4.1,252
현대로템(주),자동차·조선·철강·항공,"2조 8,140억 6,492만원","3,418명 재직중",8.1,8.5,5.5,2.8,299
㈜LX하우시스,인테리어·자재,"2조 9,568억 6,100만원","3,316명 재직중",8.3,8.5,4.4,5.1,319
한미반도체(주),기계·기계설비,"3,717억 4,089만원",652명 재직중,7.8,8.2,6.1,2.0,266
페코텍,기타 반도체소자 제조업,"529억 4,551만원",278명 재직중,7.9,7.7,8.2,2.7,262
유화증권(주),은행·금융,"222억 5,250만원",59명 재직중,7.4,8.8,8.7,2.3,296
동국제약(주),제약·보건·바이오,"5,153억 8,394만원","1,109명 재직중",7.4,7.9,5.9,2.3,222
평화홀딩스(주),자동차·조선·철강·항공,1조277억,85명 재직중,7.7,7.9,5.8,1.7,239
한림제약(주),제약·보건·바이오,"1,843억 3,931만원",494명 재직중,8.1,7.3,5.9,2.1,241
퀴네앤드나겔㈜,물류·운송·배송,"3,098억 4,028만원",210명 재직중,8.0,8.2,6.9,1.5,301
(주)한진,물류·운송·배송,"1조 5,839억","1,527명 재직중",8.1,8.7,7.1,4.4,383
㈜포스코ICT,솔루션·SI·CRM·ERP,"8,392억 4,546만원","1,906명 재직중",8.2,8.2,6.8,1.3,253
중앙일보엠앤피(주),출판·인쇄·사진,"718억 4,103만원",345명 재직중,8.0,8.2,4.6,5.4,262
현대글로비스(주),물류·운송·배송,"17조 5,727억 195만원","1,590명 재직중",8.3,9.2,6.5,5.6,383
CJ대한통운(주),물류·운송·배송,"7조 7,286억 4,670만원","6,351명 재직중",8.1,8.8,6.6,4.7,339
㈜효성,금속·재료·자재,"1조 530억 8,649만원",666명 재직중,8.0,8.7,5.0,3.3,303
㈜와이어블,네트워크·통신서비스,"784억 9,569만원",150명 재직중,7.8,7.8,9.0,1.5,234
솔브레인(주),반도체·디스플레이·광학,9633억,76명 재직중,7.9,8.3,5.6,3.9,292
(주)한국존슨앤드존슨,제약·보건·바이오,"1,168억 5,758만원","1,000명 재직중",7.7,8.6,5.4,1.7,254
국토안전관리원,공기업·공공기관,"959억 2,882만원",447명 재직중,7.7,7.4,7.4,1.0,232
한국자동차연구원,공기업·공공기관,"1,626억 5,451만원",620명 재직중,8.0,7.5,7.1,1.4,239
에스케이엠앤서비스㈜,솔루션·SI·CRM·ERP,"2,268억 814만원","1,605명 재직중",7.7,7.6,6.4,2.0,214
(주)연합뉴스,출판·인쇄·사진,1823,850명 재직중,7.8,8.6,5.3,2.8,238
㈜마니커에프앤지,식품가공,923억,290명 재직중,7.8,8.1,6.7,1.7,236
농업기술실용화재단,공기업·공공기관,"879억 9,401만원",350명 재직중,8.2,6.4,8.2,2.7,257
(주)도화엔지니어링,건설·시공·토목·조경,"5,847억 9,885만원","2,341명 재직중",7.9,8.4,7.9,3.3,277
엘에스일렉트릭㈜,전기·전자·제어,"1조 8,774억 4,787만원","3,222명 재직중",8.1,8.0,5.8,2.4,275
일진디스플레이㈜,반도체·디스플레이·광학,"933억 6,073만원",209명 재직중,7.6,7.9,7.0,1.1,205
한국언론진흥재단,공기업·공공기관,"876억 6,188만원",155명 재직중,7.9,8.3,6.3,4.4,291
㈜진합,자동차·조선·철강·항공,"2,469억 5,196만원",569명 재직중,7.7,8.3,5.8,3.2,227
(주)케이씨씨건설,건설·시공·토목·조경,"1조 3,639억 6,538만원","1,133명 재직중",7.9,8.3,6.5,3.9,296
교통안전공단,공기업·공공기관,"1,171명 재직중",섬유·의류·패션,8.2,8.2,7.9,3.6,287
㈜팬코,2707억,210명 재직중,백화점·유통·도소매,8.2,7.9,6.0,4.0,350
포탈하이웨이,"966억 1,079만원",140명 재직중,생활용품·소비재·기타,7.5,8.2,6.5,3.5,240
(주)피죤,1071억 2천만,100명 재직중,네트워크·통신서비스,7.8,8.4,7.4,1.7,268
SK브로드밴드(주),"4조 589억 9,650만원","2,482명 재직중",,8.1,8.4,5.4,3.8,288
(주)매일경제신문사,,화학·에너지·환경,"32조 5,475억 9,700만원",7.9,8.2,5.9,2.8,263
미래에셋생명보험,은행·금융,"3조 4,273억 369만원",844명 재직중,7.7,8.5,4.7,1.4,201
더클래스효성(주),자동차·조선·철강·항공,1조 1267억,800명 재직중,7.6,8.0,6.7,2.0,224
(주)그린웹서비스,포털·컨텐츠·커뮤니티,"413억 2,869만원",583명 재직중,7.8,7.6,6.0,2.4,231
(주)비즈테크파트너스,,,렌탈·임대·리스,8.0,7.9,7.6,1.0,257
롯데렌탈(주),"2조 2,359억 3,846만원","1,092명 재직중",솔루션·SI·CRM·ERP,7.6,7.6,6.3,3.7,214
슈어소프트테크(주),332억,344명 재직중,전기·전자·제어,7.7,7.3,6.7,3.9,239
영풍전자(주),"6,667억 5,648만원",965명 재직중,기계·기계설비,7.8,7.7,6.2,2.3,236
㈜에버다임,"2,647억 1,317만원",518명 재직중,무역·상사,7.9,8.0,4.8,1.6,285
(주)소니인터랙티브엔터테인먼트코리아,1000억,143명 재직중,백화점·유통·도소매,8.1,8.7,5.3,2.4,335
